name,1st_srv_won.1,2nd_srv_won.1,srv_rtg.1,rtn_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
Hugo Dellien,0.62,0.4921,312.5,0.3923,144.3,0.4832,,0.4493,0.4286
Yannick Maden,0.6285,0.5137,308.1,0.374,147.6,0.4696,,,
Janko Tipsarevic,0.6824,0.4782,320,0.3722,146.4,0.4938,0.2727,0.46,
Taro Daniel,0.6565,0.4712,306.5,0.3665,142.6,0.4647,0.3333,0.3919,0.4194
Federico Delbonis,0.6721,0.5014,309.7,0.3758,144.8,0.4893,0.2857,0.427,0.4118
Soon Woo Kwon,0.685,0.4946,324.5,0.3745,134.3,0.5083,,,
Marcel Granollers,0.7369,0.5226,328.7,0.3567,141.6,0.501,,0.4314,0.4
Steve Johnson,0.735,0.5226,329.9,0.3362,131.6,0.496,0.35,0.4382,0.4
Daniel Elahi Galan Riveros,0.6836,0.5314,325.4,0.3713,144,,,,
Jason Jung,0.6643,0.5472,333.5,0.3317,120.5,0.5,,,
Martin Klizan,0.6705,0.4791,307.4,0.3593,140.8,0.4626,0.4375,0.3636,0.3333
Antonie Hoang,0.6454,0.4949,307.2,0.3689,142.6,0.4784,,,
Stefano Travaglia,0.7673,0.5113,321.7,0.3614,139.3,0.5,,,
Yuichi Sugita,0.6467,0.5437,312.2,0.3566,117.8,,,,
Ryan Harrison,0.7623,0.5084,340.7,0.3161,122.1,0.4896,,,
Matthew Ebden,0.7212,0.4198,304.7,0.356,141.3,0.4511,,0.3273,0.2381
Marcos Baghdatis,0.7828,0.4622,317.2,0.3752,139.9,,,,
Vasek Pospisil,0.7771,0.4828,339.2,0.3135,115.3,0.4842,,,
Alex Bolt,0.7201,0.5082,322.7,0.3662,139.4,0.4907,,,
Dennis Novak,0.7111,0.5098,317.1,0.358,134.3,0.4862,,,
Maximilian Marterer,0.7204,0.5277,338.2,0.318,125.9,0.4763,,,
Gregoire Barrere,0.7022,0.48,311.9,0.3663,139.3,0.4795,,,
Dominik Koepfer,0.714,0.4469,316.7,0.3705,136.5,0.4845,,,
Pedro Sousa,0.6427,0.4009,288.5,0.3394,139.3,0.4106,,,
Laslo Djere,0.7007,0.4996,319.9,0.3612,132.6,0.4841,0.44,0.4615,0.4762
Richard Gasquet,0.7264,0.4947,330,0.3514,125.3,0.4839,0.6667,0.4941,0.5
Evgeny Donskoy,0.7278,0.454,323.3,0.3245,139.3,0.4721,,,
Alexander Bublik,0.7546,0.4642,325.2,0.3409,127.6,0.4833,0.5217,0.4706,0.5
Christopher Eubanks,0.778,0.4743,332.1,0.3204,118.8,0.4746,,,
Thanasi Kokkinakis,,,,0.3733,138.7,,,,
Cameron Norrie,0.6843,0.4825,322.3,0.3598,136.5,0.4831,0.4762,0.4545,0.4565
Alexei Popyrin,0.7338,0.5122,337.2,0.3269,117.4,0.477,0.5652,0.4444,0.3871
Bjorn Fratangelo,0.7133,0.4957,315.2,0.3407,132.4,0.4829,,,
Robin Haase,0.7395,0.4974,326.3,0.3494,128.6,0.4815,0.4444,0.4471,0.4545
Joao Sousa,0.7038,0.4952,323.6,0.348,129.9,0.4791,0.4615,0.4474,0.4561
Jannik Sinner,0.6682,0.5197,301,0.3707,137,0.4686,,,
Sergiy Stakhovsky,0.6951,0.5072,335.4,0.3174,111.5,0.4765,,,
Hyeon Chung,0.7083,0.5138,321.7,0.3416,136.8,0.4771,,,
Marcos Giron,0.6794,0.5314,317.6,0.339,123.4,,,,
Andreas Seppi,0.7095,0.4987,316.9,0.3624,136.6,0.4752,0.6842,0.4655,0.4419
Thomas Fabbiano,0.681,0.5199,326.3,0.3467,130.5,0.4742,0.5294,0.4186,0.3571
Mackenzie Mcdonald,0.6765,0.5095,321.7,0.3514,136.2,0.4667,,0.4576,0.4545
Ilya Ivashka,0.7093,0.476,317.7,0.3725,126.8,0.473,0.4615,0.434,0.4
Brayden Schnur,0.7052,0.4562,334.6,0.2881,102.8,0.4356,,,
Viktor Troicki,0.7153,0.5058,332.7,0.3354,133.4,0.4727,,,
Damir Dzumhur,0.6476,0.4812,304.5,0.3766,135.5,0.4537,0.2727,0.3659,0.3824
Lloyd George Muirhead Harris,0.7195,0.4432,318.1,0.3327,133.2,0.4716,0.3077,0.3833,0.4348
Paolo Lorenzi,0.7237,0.5071,330.3,0.323,116.3,0.4711,0.4118,,
Guido Andreozzi,0.6752,0.4575,304.1,0.3558,135.1,0.4486,0.6364,0.36,0.3
Ricardas Berankis,0.6723,0.5219,308.7,0.3542,128.4,0.4704,0.8182,0.4828,0.4286
Cedrik Marcel Stebe,0.6763,0.4876,300.3,0.3563,134.6,0.4528,,,
Bradley Klahn,0.7217,0.5207,333.4,0.2957,105.6,0.452,0.4,,
Marco Cecchinato,0.6921,0.4939,318,0.345,130.1,0.4684,0.45,0.3871,0.3243
Denis Istomin,0.7266,0.4835,332.5,0.3172,113.4,0.4587,0.4,,
Peter Gojowczyk,0.7086,0.462,304.6,0.3486,131.6,0.4579,0.3,0.3671,0.3226
Guillermo Garcia Lopez,0.6881,0.5234,322.2,0.3212,114.8,0.4421,,,
Denis Kudla,0.6921,0.4865,304.8,0.3524,130.9,0.4498,0.5,0.3636,0.3333
Henri Laaksonen,0.6955,0.5161,321.4,0.3592,124.1,0.449,0.6154,0.4,
Marius Copil,0.7426,0.494,327.9,0.31,111.5,0.4472,0.6154,0.359,0.2857
Elias Ymer,0.6514,0.4425,289.7,0.3684,130.2,,,,
Malek Jaziri,0.6737,0.4661,300.8,0.3472,127.8,0.4373,0.3333,0.3158,0.2609
Matthias Bachinger,0.7013,0.4506,320.8,0.3611,129.7,,,,
Bernard Tomic,0.6843,0.4446,322.5,0.3076,114.5,0.4342,0.5,,0.3182
Kamil Majchrzak,0.7323,0.5148,317,0.3362,116.6,0.4498,,,
Steve Darcis,0.6885,0.4706,321.5,0.3195,122.7,0.435,,,
Thiago Monteiro,0.697,0.4743,308.8,0.3457,122.3,0.4656,,,
Rudolf Molleker,0.6765,0.5017,318.9,0.2794,99.2,,,,
Jozef Kovalik,0.6674,0.4554,288.7,0.3015,117.5,0.3983,,,
Ernests Gulbis,0.7358,0.4576,313.1,0.3321,117.5,0.4416,0.4167,0.3333,0.2609
Ramkumar Ramanathan,0.724,0.4455,316.6,0.3418,110.7,,,,
Prajnesh Gunneswaran,0.6801,0.4921,301.3,0.3035,109.2,0.4156,0.5,,
Mischa Zverev,0.6541,0.4524,301.5,0.2908,98.9,0.3672,,,
